,County Name,County Number,Grad Rate,Opportunity Index
0,Anderson County,1,99.31428571428572,2.884916409325748
1,Andrews County,2,97.1,1.2241462093944833
2,Angelina County,3,92.96666666666665,-3.190314932744331
3,Aransas County,4,96.0,0.02260816727843462
4,Archer County,5,99.5,3.599395247792382
5,Armstrong County,6,96.0,-0.22867538292760514
6,Atascosa County,7,97.73333333333335,1.4209667526744572
7,Austin County,8,97.63333333333333,1.7844088025472615
8,Bailey County,9,100.0,3.7507175240326376
9,Bandera County,10,96.05,-0.1951393095020677
10,Bastrop County,11,94.14999999999999,-2.124485380073738
11,Baylor County,12,97.3,0.9521314627154283
12,Bee County,13,91.73333333333333,-5.02768407144346
13,Bell County,14,96.38500000000002,0.3813586370115566
14,Bexar County,15,94.99545454545455,-1.0992923683430587
15,Blanco County,16,97.9,1.8396625939065174
16,Borden County,17,100.0,3.035846363453132
17,Bosque County,18,99.5875,3.29863737215976
18,Bowie County,19,97.71,1.5428552894455678
19,Brazoria County,20,96.26428571428573,0.3737214073176024
20,Brazos County,21,91.96666666666665,-4.156138895779755
21,Brewster County,22,100.0,2.9828041673799297
22,Briscoe County,23,100.0,3.5448931275781206
23,Brooks County,24,91.7,-4.873889201783015
24,Brown County,25,99.55,3.2106248144508847
25,Burleson County,26,95.66666666666667,-0.5785622742560766
26,Burnet County,27,96.69999999999999,0.68512082513476
27,Caldwell County,28,90.85000000000001,-5.427478131543609
28,Calhoun County,29,94.4,-1.72218693534316
29,Callahan County,30,97.675,1.3210639416202632
30,Cameron County,31,95.35416666666664,-1.3736829517012659
31,Camp County,32,100.0,3.76587217138551
32,Carson County,33,100.0,3.7492639024329293
33,Cass County,34,98.78571428571429,2.4315934901444245
34,Castro County,35,100.0,3.6397989697555224
35,Chambers County,36,99.5,3.681218692612594
36,Cherokee County,37,96.0,-0.4025998704082042
37,Childress County,38,93.1,-3.3459420715852133
38,Clay County,39,97.3,1.047197002484662
39,Cochran County,40,96.3,-0.5897935275464334
40,Coke County,41,100.0,3.7142302940658354
41,Coleman County,42,95.5,-1.0188450893190673
42,Collin County,43,98.30645161290322,3.028693310883895
43,Collingsworth County,44,97.0,0.48161443045060537
44,Colorado County,45,95.525,-0.47893024575608933
45,Comal County,46,98.32857142857144,2.8749234089581415
46,Comanche County,47,99.45,3.0952784908540423
47,Concho County,48,100.0,2.940563037446182
48,Cooke County,49,98.68333333333334,2.9086768892442834
49,Coryell County,50,97.26666666666667,0.9448400532419138
50,Cottle County,51,100.0,3.887230960163606
51,Crane County,52,95.2,-1.4544681405412803
52,Crockett County,53,95.2,-1.3564856243841206
53,Crosby County,54,98.225,1.1567604886986302
54,Culberson County,55,96.8,0.6741821211866323
55,Dallam County,56,99.6,3.4849116407694964
56,Dallas County,57,91.92727272727274,-3.664383518379627
57,Dawson County,58,98.45,1.8975999179872716
58,Deaf Smith County,59,85.7,-10.397371878038697
59,Delta County,60,98.45,1.8727270583127336
60,Denton County,61,97.45454545454545,1.8040971055332442
61,DeWitt County,62,99.0,3.0107156800768244
62,Dickens County,63,100.0,2.6941883544823497
63,Dimmit County,64,94.6,-1.873552331030865
64,Donley County,65,98.5,2.1732395444147627
65,Duval County,66,93.33333333333333,-3.3008792512376224
66,Eastland County,67,97.95,2.4987366507751667
67,Ector County,68,92.73333333333333,-3.066943243070398
68,Edwards County,69,100.0,3.2982680332528957
69,Ellis County,70,97.48333333333333,1.4602888484076288
70,El Paso County,71,93.57446808510639,-2.7111525709747544
